Status,Story ID,Title,Type,Epic,Priority,Category,Assignees,Milestone,Start Date,Target Date,Issue #,Repository,URL
Review,US-14,US-14 — Record household data changes,Issue,E4,Must,Features / Logic,Enduser101,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-15,2026-09-17,22,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/22
On-Hold,,Guest mode bugs,Issue,,,,lifeisthing,,,,85,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/85
Done,,Define Project Timeline,Issue,,,CAB302 Team,Enduser101; Jam577; Fbature; 8ound; lifeisthing,Project Definition Deadline,2026-08-19,2026-09-02,1,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/1
Done,,UI - Authentication,Issue,,,UX / UI,Fbature,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-30,2026-09-12,45,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/45
Done,,UI - Household Setup,Issue,,,UX / UI,Jam577,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-30,2026-09-12,46,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/46
Done,,UI - Dashboard,Issue,,,UX / UI,,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-30,2026-09-08,47,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/47
Done,,UI - Resource Tracking,Issue,,,UX / UI,,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-30,2026-09-12,48,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/48
Done,,UI - Recommendations,Issue,,,UX / UI,,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-30,2026-09-12,49,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/49
Done,,UI - Scenario Simulator,Issue,,,UX / UI,Fbature,CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points),2026-08-30,2026-09-11,50,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/50
Done,,UI - Household Management,Issue,,,UX / UI,,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-31,2026-09-12,51,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/51
Done,,UI - Account,Issue,,,UX / UI,,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-31,2026-09-12,52,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/52
Done,,Authentication Low Fid,Issue,,,UX / UI,Fbature,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-30,2026-09-09,53,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/53
