Title	URL	Assignees	Status	CAB302_Team	Iteration	Start date	Target date	Quarter
US-16 — Record water information	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/24	Enduser101	Done	Features / Logic				
US-17 — Record waste information	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/25	Enduser101	Done	Features / Logic				
US-14 — Record household data changes	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/22	Enduser101	Review	Features / Logic		Sep 15, 2026	Sep 17, 2026	
US-13 — Record household membership changes	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/21	8ound	In progress - Sprint	Features / Logic		Sep 15, 2026	Sep 17, 2026	
US-11 — View current household members	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/19	Jam577	Done	Features / Logic		Sep 15, 2026	Sep 17, 2026	
US-10 — Leave a household	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/18	Jam577	Done	Features / Logic				
US-08 — Create a household	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/16	Enduser101	Done	Features / Logic		Sep 15, 2026	Sep 17, 2026	
US-09 — Join a household	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/17	Enduser101	Done	Features / Logic		Sep 15, 2026	Sep 17, 2026	
US-07 — Log out	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/15	Enduser101	Done	Features / Logic		Sep 13, 2026	Sep 15, 2026	
US-19 — Edit household sustainability information	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/27	Fbature	In progress - Sprint	Features / Logic				
US-12 — View household activity history	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/20	lifeisthing	In progress - Sprint	Features / Logic		Sep 15, 2026	Sep 17, 2026	
US-02 — Log in	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/10	Fbature	Done	Features / Logic		Sep 13, 2026	Sep 15, 2026	
US-01 — Register an account	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/9	Fbature	Done	Features / Logic		Sep 13, 2026	Sep 15, 2026	
US-24 — Receive sustainability recommendations	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/32		Todo	Features / Logic				
US-25 — Identify the domain of a recommendation	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/33		Todo	Features / Logic				
US-26 — Understand why a recommendation was made	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/34		Todo	Features / Logic				
US-27 — Create a sustainability scenario	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/35		Todo	Features / Logic				
US-28 — Compare scenario score to current score	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/36		Todo	Features / Logic				
US-29 — Save a scenario	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/37		Todo	Features / Logic				
US-30 — View saved scenarios	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/38		Todo	Features / Logic				
US-31 — Delete a saved scenario	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/39		Todo	Features / Logic				
US-32 — Remove a household member	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/40		Todo	Features / Logic				
US-33 — Rename a household	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/41		Todo	Features / Logic				
US-34 — Correct household data	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/42		Todo	Features / Logic				
US-35 — Transfer household administrator rights	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/43		Todo	Features / Logic				
US-36 — Delete household	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/44		Todo	Features / Logic				
Guest mode bugs	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/85	lifeisthing	On-Hold					
Household resource tracking (US-15–18) + CI test gate	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/82	Enduser101	Done					
Database Mapping ORM	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/73	Enduser101	Done					
ER Final	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/79	Enduser101	Done					
Group Video Submission	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/80	8ound, Enduser101, Fbature, Jam577, lifeisthing	In progress - Sprint					
UML Final	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/78	lifeisthing	Done					
ER Draft	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/77	Enduser101	Done					
Create UML Draft	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/76	lifeisthing	Done					
Maths function mapping	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/75	Fbature	Done					
Object mapping and interactions	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/74		Done					
Account details and change password (US-05, US-06, US-07)	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/86	8ound	Done					
