Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress	Labels	Milestone
US-06 — Change password	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/14	8ound	Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/86		Epic:E2, Priority:Should	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
US-05 — View account details	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/13	8ound	Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/86		Epic:E2, Priority:Should	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
US-07 — Log out	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/15	Enduser101	Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/81		Epic:E2, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Account details and change password (US-05, US-06, US-07)	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/86	8ound	Done			Epic:E2	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
US-11 — View current household members	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/19	Jam577	Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/81		Epic:E3, Priority:Should	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
US-10 — Leave a household	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/18	Jam577	Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/81		Epic:E3, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
US-08 — Create a household	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/16	Enduser101	Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/81		Epic:E3, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
US-09 — Join a household	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/17	Enduser101	Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/81		Epic:E3, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Household resource tracking (US-15–18) + CI test gate	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/82	Enduser101	Done			Epic:E4, Epic:E5	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
US-15 — Record energy information	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/23	Enduser101	Done			Epic:E5, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-18 — Record transport information	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/26	Enduser101	Done			Epic:E5, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-16 — Record water information	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/24	Enduser101	Done			Epic:E5, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-17 — Record waste information	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/25	Enduser101	Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/82		Epic:E5, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
Database Mapping ORM	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/73	Enduser101	Done		4 / 4 (100%)	Priority:Must	
Maths function mapping	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/75	Fbature	Done			Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Object mapping and interactions	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/74		Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/2		Priority:Must	
