Title	URL	Assignees	Linked pull requests	Sub-issues progress	Start date	Target date	Iteration	Quarter	CAB302_Team
US-12 — View household activity history	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/20	lifeisthing			Sep 15, 2026	Sep 17, 2026			Features / Logic
US-02 — Log in	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/10	Fbature	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/81		Sep 13, 2026	Sep 15, 2026			Features / Logic
US-01 — Register an account	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/9	Fbature	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/81		Sep 13, 2026	Sep 15, 2026			Features / Logic
US-24 — Receive sustainability recommendations	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/32								Features / Logic
US-25 — Identify the domain of a recommendation	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/33								Features / Logic
US-26 — Understand why a recommendation was made	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/34								Features / Logic
US-27 — Create a sustainability scenario	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/35								Features / Logic
US-28 — Compare scenario score to current score	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/36								Features / Logic
US-29 — Save a scenario	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/37								Features / Logic
US-30 — View saved scenarios	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/38								Features / Logic
US-31 — Delete a saved scenario	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/39								Features / Logic
US-32 — Remove a household member	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/40								Features / Logic
US-33 — Rename a household	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/41								Features / Logic
US-34 — Correct household data	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/42								Features / Logic
US-35 — Transfer household administrator rights	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/43								Features / Logic
US-36 — Delete household	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/44								Features / Logic
Guest mode bugs	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/85	lifeisthing							
Household resource tracking (US-15–18) + CI test gate	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/82	Enduser101							
Group Video Submission	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/80	8ound, Enduser101, Fbature, Jam577, lifeisthing							
Maths function mapping	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/75	Fbature							
Account details and change password (US-05, US-06, US-07)	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/86	8ound							
